Kategorie,AlterVSort,Anzahl,Herkunft,Geschlecht
1900,0,1568,Schweiz,Weiblich
1900,0,733,Ausland,Weiblich
1900,0,1788,Schweiz,Männlich
1900,0,779,Ausland,Männlich
1950,0,179,Schweiz,Weiblich
1950,0,156,Ausland,Weiblich
1950,0,174,Schweiz,Männlich
1950,0,141,Ausland,Männlich
2017,0,77,Schweiz,Weiblich
2017,0,112,Ausland,Weiblich
2017,0,70,Schweiz,Männlich
2017,0,121,Ausland,Männlich
1900,1,1480,Schweiz,Weiblich
1900,1,773,Ausland,Weiblich
1900,1,1660,Schweiz,Männlich
1900,1,844,Ausland,Männlich
1950,1,155,Schweiz,Weiblich
1950,1,128,Ausland,Weiblich
1950,1,116,Schweiz,Männlich
1950,1,131,Ausland,Männlich
2017,1,55,Schweiz,Weiblich
2017,1,107,Ausland,Weiblich
2017,1,48,Schweiz,Männlich
2017,1,102,Ausland,Männlich
1900,2,1524,Schweiz,Weiblich
1900,2,714,Ausland,Weiblich
1900,2,1542,Schweiz,Männlich
1900,2,787,Ausland,Männlich
1950,2,108,Schweiz,Weiblich
1950,2,90,Ausland,Weiblich
1950,2,113,Schweiz,Männlich
1950,2,105,Ausland,Männlich
2017,2,59,Schweiz,Weiblich
2017,2,77,Ausland,Weiblich
2017,2,60,Schweiz,Männlich
2017,2,76,Ausland,Männlich
1900,3,1450,Schweiz,Weiblich
1900,3,653,Ausland,Weiblich
1900,3,1447,Schweiz,Männlich
1900,3,668,Ausland,Männlich
1950,3,95,Schweiz,Weiblich
1950,3,75,Ausland,Weiblich
1950,3,91,Schweiz,Männlich
1950,3,105,Ausland,Männlich
2017,3,32,Schweiz,Weiblich
2017,3,63,Ausland,Weiblich
2017,3,47,Schweiz,Männlich
2017,3,75,Ausland,Männlich
1900,4,1318,Schweiz,Weiblich
1900,4,576,Ausland,Weiblich
1900,4,1424,Schweiz,Männlich
1900,4,599,Ausland,Männlich
1950,4,75,Schweiz,Weiblich
1950,4,72,Ausland,Weiblich
1950,4,84,Schweiz,Männlich
1950,4,92,Ausland,Männlich
2017,4,33,Schweiz,Weiblich
2017,4,65,Ausland,Weiblich
2017,4,41,Schweiz,Männlich
2017,4,62,Ausland,Männlich
1900,5,1336,Schweiz,Weiblich
1900,5,496,Ausland,Weiblich
1900,5,1456,Schweiz,Männlich
1900,5,547,Ausland,Männlich
1950,5,48,Schweiz,Weiblich
1950,5,66,Ausland,Weiblich
1950,5,53,Schweiz,Männlich
1950,5,39,Ausland,Männlich
2017,5,28,Schweiz,Weiblich
2017,5,58,Ausland,Weiblich
2017,5,27,Schweiz,Männlich
2017,5,43,Ausland,Männlich
1900,6,1336,Schweiz,Weiblich
1900,6,487,Ausland,Weiblich
1900,6,1391,Schweiz,Männlich
1900,6,499,Ausland,Männlich
1950,6,33,Schweiz,Weiblich
1950,6,51,Ausland,Weiblich
1950,6,50,Schweiz,Männlich
1950,6,51,Ausland,Männlich
2017,6,17,Schweiz,Weiblich
2017,6,51,Ausland,Weiblich
2017,6,35,Schweiz,Männlich
