Jahr,Anzahl,Definition
1921,201242,Bevölkerung
1922,200289,Bevölkerung
1923,204049,Bevölkerung
1924,206719,Bevölkerung
1925,209327,Bevölkerung
1926,214959,Bevölkerung
1927,220613,Bevölkerung
1928,230476,Bevölkerung
1929,240202,Bevölkerung
1930,249067,Bevölkerung
1931,257478,Bevölkerung
1932,260694,Bevölkerung
1933,264043,Bevölkerung
1934,315864,Bevölkerung
1935,317157,Bevölkerung
1936,317712,Bevölkerung
1937,318926,Bevölkerung
1938,326979,Bevölkerung
1939,333984,Bevölkerung
1940,334026,Bevölkerung
1941,336531,Bevölkerung
1942,339721,Bevölkerung
1943,345819,Bevölkerung
1944,351679,Bevölkerung
1945,357381,Bevölkerung
1946,367171,Bevölkerung
1947,377087,Bevölkerung
1948,383568,Bevölkerung
1949,386003,Bevölkerung
1950,389573,Bevölkerung
1951,396260,Bevölkerung
1952,403625,Bevölkerung
1953,408544,Bevölkerung
1954,413044,Bevölkerung
1955,417351,Bevölkerung
1956,420489,Bevölkerung
1957,426349,Bevölkerung
1958,431242,Bevölkerung
1959,434080,Bevölkerung
1960,437273,Bevölkerung
1961,439322,Bevölkerung
1962,440180,Bevölkerung
1963,439090,Bevölkerung
1964,437630,Bevölkerung
1965,433865,Bevölkerung
1966,431533,Bevölkerung
1967,430594,Bevölkerung
1968,430155,Bevölkerung
1969,425117,Bevölkerung
1970,417972,Bevölkerung
1971,412169,Bevölkerung
1972,407647,Bevölkerung
1973,401577,Bevölkerung
1974,396261,Bevölkerung
1975,389613,Bevölkerung
1976,382999,Bevölkerung
1977,379635,Bevölkerung
1978,376447,Bevölkerung
1979,374221,Bevölkerung
1980,370618,Bevölkerung
1981,368171,Bevölkerung
1982,366340,Bevölkerung
1983,363652,Bevölkerung
1984,361493,Bevölkerung
1985,359084,Bevölkerung
1986,358873,Bevölkerung
1987,358042,Bevölkerung
1988,357360,Bevölkerung
1989,355901,Bevölkerung
1990,356352,Bevölkerung
1991,360875,Bevölkerung
1992,361488,Bevölkerung
1993,360898,Bevölkerung
1994,360848,Bevölkerung
1995,360826,Bevölkerung
1996,359648,Bevölkerung
1997,358594,Bevölkerung
1998,359073,Bevölkerung
1999,360704,Bevölkerung
2000,360980,Bevölkerung
2001,362042,Bevölkerung
2002,364558,Bevölkerung
2003,364528,Bevölkerung
2004,364977,Bevölkerung
2005,366809,Bevölkerung
2006,370062,Bevölkerung
2007,376815,Bevölkerung
2008,380499,Bevölkerung
2009,382906,Bevölkerung
2010,385468,Bevölkerung
2011,390082,Bevölkerung
2012,394012,Bevölkerung
2013,398575,Bevölkerung
2014,404783,Bevölkerung
2015,410404,Bevölkerung
2016,415682,Bevölkerung
2017,423310,Bevölkerung
1921,2954,Geburten
1922,2841,Geburten
1923,2799,Geburten
1924,2724,Geburten
1925,2838,Geburten
1926,2853,Geburten
1927,2853,Geburten
1928,2958,Geburten
1929,3196,Geburten
1930,3436,Geburten
1931,4087,Geburten
1932,4107,Geburten
1933,4042,Geburten
1934,4150,Geburten
1935,4222,Geburten
1936,3949,Geburten
1937,3736,Geburten
1938,3836,Geburten
1939,3808,Geburten
1940,4069,Geburten
1941,4926,Geburten
1942,5273,Geburten
1943,5547,Geburten
1944,5769,Geburten
1945,6039,Geburten
1946,5937,Geburten
1947,5738,Geburten
1948,5423,Geburten
1949,5322,Geburten
1950,5432,Geburten
1951,5282,Geburten
1952,5600,Geburten
1953,5698,Geburten
1954,5707,Geburten
1955,5899,Geburten
1956,5818,Geburten
1957,5941,Geburten
1958,6073,Geburten
1959,6132,Geburten
1960,6084,Geburten
1961,6147,Geburten
1962,6034,Geburten
1963,6002,Geburten
1964,5746,Geburten
1965,5582,Geburten
1966,5248,Geburten
1967,5093,Geburten
1968,4777,Geburten
1969,4343,Geburten
1970,4150,Geburten
1971,3874,Geburten
1972,3687,Geburten
1973,3365,Geburten
1974,3220,Geburten
1975,3028,Geburten
1976,2880,Geburten
1977,2871,Geburten
1978,2882,Geburten
1979,2893,Geburten
